Product History,,Product,AWP01,Store,372,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Transaction Date,Transaction Type,Reference Number,Customer Vendor #,Customer/Vendor Name,Receiving PO Number,Inventory Quantity,Non-Inventory Quantity,Price,Cost,Inventory Balance,Transaction Date,Transaction Type,Reference Number,Created By,Created Date,Created Time,Last Changed By,Last Changed Date,Last Changed Time
11/17/22,RECV,3760034052,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,11/17/22,RECV,3760034052,U651RLW   ,11/16/22,11:31:15,U651RLW   ,11/16/22,11:31:15
10/31/22,INVC,3720031975,2859680,"GOTTA GO, INC. - TRACKING",,0,1,75,50,0,10/31/22,INVC,3720031975,U651CTW   ,10/31/22,07:31:21,U651CTW   ,10/31/22,07:31:21
10/25/22,RECV,3760033033,9999021,*** STORE TRANSFERS ***,0,0,3,0,50,0,10/25/22,RECV,3760033033,U651RLW   ,10/25/22,06:09:11,U651RLW   ,10/25/22,06:09:11
10/21/22,RECV,3760030065,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,10/21/22,RECV,3760030065,U651RLW   ,08/26/22,07:57:59,U651RLW   ,08/26/22,07:57:59
10/21/22,RECV,3760029632,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,10/21/22,RECV,3760029632,U651RLW   ,08/19/22,11:11:07,U651RLW   ,08/19/22,11:11:07
10/21/22,RECV,3760028444,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,10/21/22,RECV,3760028444,U651RLW   ,07/28/22,09:37:51,U651RLW   ,07/28/22,09:37:51
10/18/22,RECV,3760032673,9999021,*** STORE TRANSFERS ***,0,0,5,0,50,0,10/18/22,RECV,3760032673,U651KAW   ,10/17/22,12:04:26,U651KAW   ,10/17/22,12:04:26
10/15/22,RECV,3760032594,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,10/15/22,RECV,3760032594,U651RLW   ,10/14/22,13:08:51,U651RLW   ,10/14/22,13:08:51
10/12/22,INVC,3720030890,2852291,ERNST CONCRETE KENTUCKIAN,,0,8,80,50,0,10/12/22,INVC,3720030890,U651TLG   ,10/07/22,10:38:50,U651TLG   ,10/07/22,11:39:09
10/10/22,RECV,3760032293,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,10/10/22,RECV,3760032293,U651KAW   ,10/07/22,09:59:22,U651KAW   ,10/07/22,09:59:22
10/06/22,INVC,3720030761,2852708,"GOTTA GO, INC.",,0,2,75,50,0,10/06/22,INVC,3720030761,U651CTW   ,10/06/22,09:26:54,U651CTW   ,10/06/22,09:26:54
10/04/22,RECV,3760032049,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,10/04/22,RECV,3760032049,U651KAW   ,10/03/22,14:06:44,U651KAW   ,10/03/22,14:06:44
10/04/22,RECV,3760032048,9999021,*** STORE TRANSFERS ***,0,0,8,0,50,0,10/04/22,RECV,3760032048,U651KAW   ,10/03/22,14:06:04,U651KAW   ,10/03/22,14:06:04
09/29/22,RECV,3760031881,9999021,*** STORE TRANSFERS ***,0,0,3,0,50,0,09/29/22,RECV,3760031881,U651RLW   ,09/29/22,09:39:36,U651RLW   ,09/29/22,09:39:36
09/29/22,RECV,3760031881,9999021,*** STORE TRANSFERS ***,0,0,9,0,50,0,09/29/22,RECV,3760031881,U651RLW   ,09/29/22,09:39:36,U651RLW   ,09/29/22,09:39:36
09/27/22,RECV,3760031688,9999021,*** STORE TRANSFERS ***,0,0,7,0,50,0,09/27/22,RECV,3760031688,U651RLW   ,09/26/22,14:30:37,U651RLW   ,09/26/22,14:30:37
09/27/22,RECV,3760031688,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,09/27/22,RECV,3760031688,U651RLW   ,09/26/22,14:30:37,U651RLW   ,09/26/22,14:30:37
09/26/22,RECV,3760031578,9999021,*** STORE TRANSFERS ***,0,0,1,0,50,0,09/26/22,RECV,3760031578,U651RLW   ,09/23/22,12:17:02,U651RLW   ,09/23/22,12:17:02
09/22/22,INVC,3720029952,2852708,"GOTTA GO, INC.",,0,2,75,50,0,09/22/22,INVC,3720029952,U651CTW   ,09/22/22,10:21:48,U651CTW   ,09/22/22,10:21:48
09/20/22,INVC,3720029820,2859680,"GOTTA GO, INC. - TRACKING",,0,1,75,50,0,09/20/22,INVC,3720029820,U651CTW   ,09/20/22,16:32:43,U651CTW   ,09/20/22,16:32:43
09/20/22,INVC,3720029257,2854548,MILLER TRANSPORTATION/ IN,,0,9,75,50,0,09/20/22,INVC,3720029257,QUSER     ,09/09/22,07:40:23,QUSER     ,09/09/22,07:40:23
09/12/22,RECV,3760030841,9999021,*** STORE TRANSFERS ***,0,0,-6,0,50,0,09/12/22,RECV,3760030841,U651KAW   ,09/12/22,10:40:25,U651KAW   ,09/12/22,10:40:25
09/12/22,RECV,3760030795,9999021,*** STORE TRANSFERS ***,0,0,6,0,50,0,09/12/22,RECV,3760030795,U651RLW   ,09/09/22,13:36:41,U651RLW   ,09/09/22,13:36:41
09/07/22,INVC,3720029183,2859680,"GOTTA GO, INC. - TRACKING",,0,1,75,50,0,09/07/22,INVC,3720029183,U651CTW   ,09/07/22,17:47:30,U651CTW   ,09/07/22,17:47:30
