Product History,,Product,AWP01,Store,376,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Transaction Date,Transaction Type,Reference Number,Customer Vendor #,Customer/Vendor Name,Receiving PO Number,Inventory Quantity,Non-Inventory Quantity,Price,Cost,Inventory Balance,Transaction Date,Transaction Type,Reference Number,Created By,Created Date,Created Time,Last Changed By,Last Changed Date,Last Changed Time
11/18/22,INVC,3760034122,9821021,TRANSFERS TO #372 J'VILLE,,0,2,50,50,0,11/18/22,INVC,3760034122,U651KAW   ,11/18/22,07:24:46,U651KAW   ,11/18/22,07:24:46
11/18/22,INVC,3760034121,9821021,TRANSFERS TO #372 J'VILLE,,0,1,50,50,0,11/18/22,INVC,3760034121,U651KAW   ,11/18/22,07:23:25,U651KAW   ,11/18/22,07:23:25
11/16/22,INVC,3760034052,9821021,TRANSFERS TO #372 J'VILLE,,0,2,50,50,0,11/16/22,INVC,3760034052,U651RLW   ,11/16/22,12:20:34,U651RLW   ,11/16/22,12:20:34
11/16/22,INVC,3760033952,2857412,PENSKE #5471 - JEFFVILLE,,0,2,75,50,0,11/16/22,INVC,3760033952,U651RLW   ,11/15/22,07:51:48,U651RLW   ,11/15/22,07:51:48
11/16/22,INVC,3760033916,2854962,PENSKE #0456 - LOUISVILLE,,0,3,75,50,0,11/16/22,INVC,3760033916,U651RLW   ,11/14/22,10:25:19,U651RLW   ,11/14/22,10:25:19
11/16/22,INVC,3760033913,2859837,PENSKE #6409-10 - DERBY CITY,,0,1,75,50,0,11/16/22,INVC,3760033913,U651RLW   ,11/14/22,09:54:37,U651RLW   ,11/14/22,09:54:37
11/16/22,INVC,3760033907,2856760,"WASTE MANAGEMENT,INC",,0,6,75,50,0,11/16/22,INVC,3760033907,U651RLW   ,11/14/22,08:38:02,U651RLW   ,11/14/22,08:38:02
11/16/22,INVC,3760033702,2857412,PENSKE #5471 - JEFFVILLE,,0,1,75,50,0,11/16/22,INVC,3760033702,U651RLW   ,11/08/22,12:40:12,U651RLW   ,11/08/22,12:40:12
11/14/22,INVC,3760033866,2854962,PENSKE #0456 - LOUISVILLE,,0,4,75,50,0,11/14/22,INVC,3760033866,U651RLW   ,11/11/22,10:28:14,U651RLW   ,11/11/22,10:28:14
11/14/22,INVC,3760033725,2854962,PENSKE #0456 - LOUISVILLE,,0,1,75,50,0,11/14/22,INVC,3760033725,U651RLW   ,11/09/22,12:18:05,U651RLW   ,11/09/22,12:18:05
11/10/22,INVC,3760033224,2854962,PENSKE #0456 - LOUISVILLE,,0,1,73.87,50,0,11/10/22,INVC,3760033224,U651KAW   ,10/28/22,08:55:02,U651MVB   ,11/10/22,12:35:46
11/08/22,INVC,3760033617,2856760,"WASTE MANAGEMENT,INC",,0,6,75,50,0,11/08/22,INVC,3760033617,U651RLW   ,11/07/22,09:20:23,U651RLW   ,11/07/22,09:20:23
11/08/22,INVC,3760033524,2854960,PENSKE #0470 - E. LVILLE,,0,6,75,50,0,11/08/22,INVC,3760033524,U651RLW   ,11/03/22,12:03:40,U651RLW   ,11/03/22,12:03:40
11/04/22,INVC,3760033588,2853148,"REPUBLIC SERVICES, INC. 3077",,0,3,75,50,0,11/04/22,INVC,3760033588,U651TAH   ,11/04/22,12:41:54,U651TAH   ,11/04/22,12:41:54
11/02/22,INVC,3760033487,9821027,TRANSFERS TO #374 SEYMOUR,,0,10,50,50,0,11/02/22,INVC,3760033487,U651RLW   ,11/02/22,14:43:42,U651RLW   ,11/02/22,14:43:42
11/02/22,INVC,3760033379,2854960,PENSKE #0470 - E. LVILLE,,0,3,75,50,0,11/02/22,INVC,3760033379,U651RLW   ,11/01/22,11:31:37,U651RLW   ,11/01/22,11:31:37
11/02/22,INVC,3760033352,2856760,"WASTE MANAGEMENT,INC",,0,6,75,50,0,11/02/22,INVC,3760033352,U651RLW   ,10/31/22,14:45:27,U651RLW   ,10/31/22,14:45:33
11/02/22,INVC,3760033351,2856760,"WASTE MANAGEMENT,INC",,0,6,75,50,0,11/02/22,INVC,3760033351,U651RLW   ,10/31/22,14:44:34,U651RLW   ,10/31/22,14:44:34
11/02/22,INVC,3760033210,2854155,"M & M CARTAGE CO., INC.",,0,8,70.5,50,0,11/02/22,INVC,3760033210,U651RLW   ,11/02/22,08:18:51,U651RLW   ,11/02/22,08:18:51
11/01/22,INVC,3760033415,376,GENTRY COACH,,0,6,100,50,0,11/01/22,INVC,3760033415,U651TAH   ,11/01/22,16:50:28,U651TAH   ,11/01/22,16:50:28
10/27/22,INVC,3760033054,2854960,PENSKE #0470 - E. LVILLE,,0,5,75,50,0,10/27/22,INVC,3760033054,U651RLW   ,10/25/22,10:14:17,U651RLW   ,10/25/22,10:14:17
10/27/22,INVC,3760032993,2859837,PENSKE #6409-10 - DERBY CITY,,0,2,75,50,0,10/27/22,INVC,3760032993,U651RLW   ,10/24/22,10:14:19,U651RLW   ,10/24/22,10:14:19
10/27/22,INVC,3760032956,2854962,PENSKE #0456 - LOUISVILLE,,0,1,75,50,0,10/27/22,INVC,3760032956,U651RLW   ,10/21/22,12:22:30,U651RLW   ,10/21/22,12:22:30
10/27/22,INVC,3760030162,2854960,PENSKE #0470 - E. LVILLE,,0,6,75,50,0,10/27/22,INVC,3760030162,U651KAW   ,08/30/22,10:36:28,U651KAW   ,08/30/22,10:36:28
10/25/22,INVC,3760033033,9821021,TRANSFERS TO #372 J'VILLE,,0,3,50,50,0,10/25/22,INVC,3760033033,U651RLW   ,10/25/22,07:08:41,U651RLW   ,10/25/22,07:08:41
10/25/22,INVC,3760033032,9821024,TRANSFERS TO #373 E-TOWN,,0,1,50,50,0,10/25/22,INVC,3760033032,U651RLW   ,10/25/22,07:07:37,U651RLW   ,10/25/22,07:07:37
10/25/22,INVC,3760032949,2854962,PENSKE #0456 - LOUISVILLE,,0,1,73.87,50,0,10/25/22,INVC,3760032949,U651RLW   ,10/21/22,11:09:00,U651MVB   ,10/25/22,12:41:38
10/24/22,INVC,3760032998,2854960,PENSKE #0470 - E. LVILLE,,0,-4,75,50,0,10/24/22,INVC,3760032998,U651TAH   ,10/24/22,11:09:58,U651TAH   ,10/24/22,11:09:58
10/24/22,INVC,3760032997,2854960,PENSKE #0470 - E. LVILLE,,0,4,75,50,0,10/24/22,INVC,3760032997,U651TAH   ,10/24/22,11:07:06,U651TAH   ,10/24/22,11:07:06
10/20/22,INVC,3760032660,2854962,PENSKE #0456 - LOUISVILLE,,0,2,75,50,0,10/20/22,INVC,3760032660,U651RLW   ,10/17/22,11:53:41,U651RLW   ,10/17/22,11:53:41
10/20/22,INVC,3760032575,2854962,PENSKE #0456 - LOUISVILLE,,0,1,73.87,50,0,10/20/22,INVC,3760032575,U651RLW   ,10/14/22,09:46:36,U651MVB   ,10/20/22,11:59:21
10/19/22,INVC,3760032691,2856760,"WASTE MANAGEMENT,INC",,0,4,75,50,0,10/19/22,INVC,3760032691,U651RLW   ,10/17/22,14:26:37,U651RLW   ,10/17/22,14:26:37
10/18/22,INVC,3760032714,2854960,PENSKE #0470 - E. LVILLE,,0,4,75,50,0,10/18/22,INVC,3760032714,U651RLW   ,10/18/22,10:30:47,U651RLW   ,10/18/22,10:30:47
