Product History,,Product,AWP01,Store,373,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Transaction Date,Transaction Type,Reference Number,Customer Vendor #,Customer/Vendor Name,Receiving PO Number,Inventory Quantity,Non-Inventory Quantity,Price,Cost,Inventory Balance,Transaction Date,Transaction Type,Reference Number,Created By,Created Date,Created Time,Last Changed By,Last Changed Date,Last Changed Time
10/25/22,RECV,3760033032,9999021,*** STORE TRANSFERS ***,0,0,1,0,50,0,10/25/22,RECV,3760033032,U651RLW   ,10/25/22,06:08:03,U651RLW   ,10/25/22,06:08:03
07/20/22,INVC,3730012206,2851197,BROTHERS FARMS,,0,3,80,50,0,07/20/22,INVC,3730012206,U651TEM   ,07/20/22,13:18:04,U651TEM   ,07/20/22,13:18:04
07/15/22,RECV,3760027722,9999021,*** STORE TRANSFERS ***,0,0,3,0,50,0,07/15/22,RECV,3760027722,U651RLW   ,07/14/22,08:26:28,U651RLW   ,07/14/22,08:26:28
04/20/22,INVC,3730010167,2859734,"REPUBLIC SERVICES, INC. 3058",,0,8,75,50,0,04/20/22,INVC,3730010167,U651TEM   ,04/18/22,09:05:24,U651TEM   ,04/18/22,09:05:24
04/06/22,INVC,3730009646,2851197,BROTHERS FARMS,,0,3,75,50,0,04/06/22,INVC,3730009646,U651TEM   ,03/23/22,07:45:06,U651TEM   ,03/23/22,07:45:06
03/23/22,RECV,3760021932,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,03/23/22,RECV,3760021932,U651TAH   ,03/21/22,10:35:31,U651TAH   ,03/21/22,10:35:31
03/18/22,RECV,3760021083,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,03/18/22,RECV,3760021083,U651RLW   ,03/04/22,10:32:10,U651RLW   ,03/04/22,10:32:10
02/22/22,INVC,3730008702,2851197,BROTHERS FARMS,,0,6,75,50,0,02/22/22,INVC,3730008702,U651TEM   ,01/26/22,15:49:28,U651TEM   ,01/26/22,15:49:28
01/27/22,INVC,3730008690,2859734,"REPUBLIC SERVICES, INC. 3058",,0,15,75,50,0,01/27/22,INVC,3730008690,U651TEM   ,01/26/22,08:32:06,U651TEM   ,01/26/22,08:32:06
01/27/22,RECV,3760019632,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,01/27/22,RECV,3760019632,U651KAW   ,01/26/22,12:14:58,U651KAW   ,01/26/22,12:14:58
12/20/21,INVC,3730007979,2857083,SMITH GRAIN,,0,4,80,50,0,12/20/21,INVC,3730007979,U651TEM   ,12/13/21,13:07:38,U651TEM   ,12/13/21,13:07:38
12/07/21,RECV,3760017480,9999021,*** STORE TRANSFERS ***,0,0,4,0,50,0,12/07/21,RECV,3760017480,U651RLW   ,12/07/21,07:01:21,U651RLW   ,12/07/21,07:01:21
10/19/21,RECV,3760015311,9999021,*** STORE TRANSFERS ***,0,0,1,0,50,0,10/19/21,RECV,3760015311,U651TAH   ,10/19/21,10:43:06,U651TAH   ,10/19/21,10:43:06
10/18/21,RECV,3760015246,9999021,*** STORE TRANSFERS ***,0,0,2,0,50,0,10/18/21,RECV,3760015246,U651TAH   ,10/18/21,12:42:56,U651TAH   ,10/18/21,12:42:56
09/15/21,INVC,3730005826,2851197,BROTHERS FARMS,,0,4,75,50,0,09/15/21,INVC,3730005826,U651TEM   ,09/01/21,12:36:33,U651TEM   ,09/01/21,12:36:33
,,,,,,,,,,,,,,,,,,,
,,,,Beginning Balance,0,,,,,,,,,,,,,,
,,,,Net Activity,0,,,,,,,,,,,,,,
,,,,Ending Balance,0,,,,,,,,,,,,,,
